tt1408101,"Action, Adventure, Sci-Fi",J.J. Abrams,,Star Trek Into Darkness,"When the USS Enterprise crew is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis. With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction. As our space heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.",,7.7,"[{""id"": ""0b60f2f3aa68a9c54c9df5376df66eb1a4f3fe7f""}, {""id"": ""0b60f2f35a158dc6d9c6a2024da15ab6ec6f56dc""}, {""id"": ""0b60f2f3e0016796e67b32cc16723d585165caf6""}, {""id"": ""0b60f2f38bf80dbebe43a1854547b0af6a19fb11""}]"
tt2527338,"Action, Adventure, Fantasy, Sci-Fi",J.J. Abrams,,Star Wars: Episode IX - The Rise of Skywalker,"The surviving members of the resistance face the First Order once again, and the legendary conflict between the Jedi and the Sith reaches its peak bringing the Skywalker saga to its end.",,6.7,"[{""id"": ""0b60f2f37dd9a9c9bc44e88259e254a4626904c1""}, {""id"": ""0b60f2f32d22f1f7187aa507e6d087ee4c91b6b9""}, {""id"": ""0b60f2f3698666f0b98af51d64c7f036ba6212cc""}, {""id"": ""0b60f2f336bda8ba5c3724ea229d5c0ac3db51d6""}, {""id"": ""0b60f2f37dd9a9c9bc44e88259e254a4626904c1""}, {""id"": ""0b60f2f32d22f1f7187aa507e6d087ee4c91b6b9""}, {""id"": ""0b60f2f348adc2f668a9a090165e24f3d3a7cf5a""}]"
tt1517451,"Drama, Music, Romance",Bradley Cooper,,A Star Is Born,"Jackson Maine (Cooper), a country music star on the brink of decline, discovers a talented unknown named Ally (Germanotta). As the two begin a passionate love affair, Jackson coaxes Ally into the spotlight, catapulting her to stardom. But as Ally's career quickly eclipses his own, Jack finds it increasingly hard to handle his fading glory.",,7.7,"[{""id"": ""0b60f2f38729aa9efb4e5fd5d98df296ce92bdf2""}, {""id"": ""0b60f2f3a81c071cd02f48cce98b65e6f0c4e6f1""}, {""id"": ""0b60f2f3407cfca3b24ea81d559e575346e384da""}, {""id"": ""0b60f2f3fe6e7994882bb6ebe71e30ca6b1a99c9""}, {""id"": ""0b60f2f3bf87762af9fbe8965d04e6062fb9ffbe""}, {""id"": ""0b60f2f371c57a27eaa1c5d7d2229c97bb329a16""}, {""id"": ""0b60f2f343816286e53f7a7025bba6c4ea69a9c5""}, {""id"": ""0b60f2f355f09e9398fdea3557efe91176af5816""}, {""id"": ""0b60f2f3aee2e6db966a4a639f090387d7306e13""}]"
tt3778644,"Action, Adventure, Sci-Fi",Ron Howard,,Solo: A Star Wars Story,"During an adventure into the criminal underworld, Han Solo meets his future co-pilot Chewbacca and encounters Lando Calrissian years before joining the Rebellion.",,6.9,"[{""id"": ""0b60f2f322b0f605b475f2b5d49b1107259823a7""}, {""id"": ""0b60f2f35988f621775659dbb7ad784c3795d71b""}, {""id"": ""0b60f2f348adc2f668a9a090165e24f3d3a7cf5a""}]"
tt2660888,"Action, Adventure, Sci-Fi, Thriller",Justin Lin,,Star Trek Beyond,"After stopping off at Starbase Yorktown, a remote outpost on the fringes of Federation space, the USS Enterprise, halfway into their five-year mission, is destroyed by an unstoppable wave of unknown aliens. With the crew stranded on an unknown planet and with no apparent means of rescue, they find themselves fighting against a ruthless enemy with a well-earned hatred of the Federation and everything it stands for. Only a rebellious alien warrior can help them reunite and leave the planet to stop this deadly menace from beginning a possible galactic war.",,7.1,"[{""id"": ""0b60f2f3f83143bd8775ef028a004fbc94bfa8d2""}, {""id"": ""0b60f2f3c906e92a399c372f3ea82f7bdda9ec70""}, {""id"": ""0b60f2f38bf80dbebe43a1854547b0af6a19fb11""}]"
tt0117731,"Action, Adventure, Drama, Sci-Fi, Thriller",Jonathan Frakes,,Star Trek: First Contact,"In the 24th century, the crew of the Enterprise-E has been ordered to patrol the Romulan Neutral Zone by the Federation to avoid interference with their battle against the insidious Borg. Witnessing the loss of the battle, Captain Jean-Luc Picard ignores orders and takes command of the fleet engaging the Borg. But the Borg plan to travel back into the 21st century through a vortex with the intention to stop Earth's first contact with an alien race (the Vulcans). Following the Borg sphere, Picard and his crew realize that they have taken over the Enterprise in order to carry out their mission. Their only chance to do away with the Borg and their seductive queen is to make sure that Zefram Cochrane makes his famous faster-than-light travel to the stars.",,7.6,"[{""id"": ""0b60f2f38bf80dbebe43a1854547b0af6a19fb11""}, {""id"": ""0b60f2f359228645d7c8b9c1d135fa63e1be3e91""}, {""id"": ""0b60f2f36225f51bfb83f4cc8558c0383c4ab015""}, {""id"": ""0b60f2f346b47c58b507f78e4599e88dfb02a952""}, {""id"": ""0b60f2f36225f51bfb83f4cc8558c0383c4ab015""}, {""id"": ""0b60f2f346b47c58b507f78e4599e88dfb02a952""}]"
tt0084726,"Action, Adventure, Sci-Fi",Nicholas Meyer,,Star Trek II: The Wrath of Khan,"It is the 23rd century. Admiral James T. Kirk is an instructor at Starfleet Academy and feeling old; the prospect of attending his ship, the USS Enterprise--now a training ship--on a two-week cadet cruise does not make him feel any younger. But the training cruise becomes a deadly serious mission when his nemesis Khan Noonien Singh--infamous conqueror from late 20th century Earth--appears after years of exile. Khan later revealed that the planet Ceti Alpha VI exploded, and shifted the orbit of the fifth planet as a Mars-like haven. He begins capturing Project Genesis, a top secret device holding the power of creation itself, and schemes the utter destruction of Kirk.",,7.7,"[{""id"": ""0b60f2f38bf80dbebe43a1854547b0af6a19fb11""}, {""id"": ""0b60f2f39e4d7afff686defce6e7bed210da4d25""}, {""id"": ""0b60f2f3d8e9584ca0601f4506fe37ca3a9b62bb""}, {""id"": ""0b60f2f3d8e9584ca0601f4506fe37ca3a9b62bb""}]"
tt0092455,"Action, Adventure, Mystery, Sci-Fi",N/A,0b60f2f38bf80dbebe43a1854547b0af6a19fb11,Star Trek: The Next Generation,"Set in the 24th century and decades after the adventures of the original crew of the starship Enterprise, this new series is the long-awaited successor to the original Star Trek (1966). Under the command of Captain Jean-Luc Picard, the all new Enterprise NCC 1701-D travels out to distant planets to seek out new life and to boldly go where no one has gone before.",,8.6,
tt5171438,"Action, Adventure, Drama, Sci-Fi",N/A,,Star Trek: Discovery,"Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien.",,7.3,"[{""id"": ""0b60f2f3d303b7eac76f46bb326068845b117829""}, {""id"": ""0b60f2f35a158dc6d9c6a2024da15ab6ec6f56dc""}]"
tt0079945,"Adventure, Mystery, Sci-Fi",Robert Wise,,Star Trek,"A massive alien spacecraft of enormous power destroys three powerful Klingon cruisers, entering Federation space. Admiral James T. Kirk is ordered to take command of the USS Enterprise for the first time since her historic five-year mission. The Epsilon IX space station alerts the Federation, but they are also destroyed by the alien spacecraft. The only starship in range is the Enterprise--after undergoing a major overhaul at Spacedock on Earth. Kirk rounds up the rest of his crew, and acquires some new members, and sets off to intercept the alien spacecraft. However, it has been there years since Kirk last commanded the Enterprise... is he up to the task of saving Earth?",,6.4,"[{""id"": ""0b60f2f38bf80dbebe43a1854547b0af6a19fb11""}, {""id"": ""0b60f2f32bda9c9d5a287b8a9f1cc27b03b3657b""}, {""id"": ""0b60f2f31eb231cb76af73512ca66c35446118f0""}]"
tt0092007,"Adventure, Comedy, Sci-Fi",Leonard Nimoy,,Star Trek IV: The Voyage Home,"The most acclaimed Star Trek adventure of all time with an important message. It is the 23rd century, and a mysterious alien probe is threatening Earth by evaporating the oceans and destroying the atmosphere. In their frantic attempt to save mankind, Admiral Kirk and his crew must time travel back to 1986 San Francisco where they find a world of punk, pizza and exact-change buses that are as alien to them as anything they have ever encountered in the far-off reaches of the galaxy. William Shatner and Leonard Nimoy return as Kirk and Spock, along with the entire Star Trek crew.",,7.3,"[{""id"": ""0b60f2f38bf80dbebe43a1854547b0af6a19fb11""}, {""id"": ""0b60f2f369d1ddbe61384187bc0b15383debc5e4""}, {""id"": ""0b60f2f39e4d7afff686defce6e7bed210da4d25""}, {""id"": ""0b60f2f33b824c0a939379fa1a15bd6b96b6178a""}, {""id"": ""0b60f2f3b6a7d26f570c176622d194a876ee0a46""}, {""id"": ""0b60f2f39e4d7afff686defce6e7bed210da4d25""}, {""id"": ""0b60f2f331163952425b22201eaa3a533cc62090""}]"
tt0111280,"Action, Adventure, Mystery, Sci-Fi, Thriller",David Carson,,Star Trek: Generations,"In the late 23rd century, the gala maiden voyage of the newly-christened Enterprise-B boasts such luminaries as Pavel Chekov, Montgomery Scott and the legendary Captain James T. Kirk as guests. But her maiden voyage turns into a disaster as the unprepared starship is forced to rescue two transport ships from a mysterious energy ribbon. The Enterprise manages to save a handful of the ships' passengers and barely succeeds out intact... but at the cost of Captain Kirk's life. 78 years later, Captain Jean-Luc Picard and the Enterprise-D crew find themselves at odds with renegade scientist Dr. Tolian Soran... who is destroying entire star systems. Only one man can help Picard stop Soran's scheme... and he has been dead for 78 years.",,6.6,"[{""id"": ""0b60f2f38bf80dbebe43a1854547b0af6a19fb11""}, {""id"": ""0b60f2f359228645d7c8b9c1d135fa63e1be3e91""}, {""id"": ""0b60f2f346b47c58b507f78e4599e88dfb02a952""}, {""id"": ""0b60f2f36225f51bfb83f4cc8558c0383c4ab015""}, {""id"": ""0b60f2f346b47c58b507f78e4599e88dfb02a952""}, {""id"": ""0b60f2f36225f51bfb83f4cc8558c0383c4ab015""}]"
tt0088170,"Action, Adventure, Sci-Fi",Leonard Nimoy,,Star Trek III: The Search for Spock,"In the wake of Spock's ultimate deed of sacrifice, Admiral Kirk and the Enterprise crew return to Earth for some essential repairs to their ship. When they arrive at Spacedock, they are shocked to discover that the Enterprise is to be decommissioned. Even worse, Dr. McCoy begins acting strangely and Scotty has been reassigned to another ship. Kirk is forced to steal back the Enterprise and head across space to the Genesis Planet to save Spock and bring him to Vulcan. Unknown to them, the Klingons are planning to steal the secrets of the Genesis Device for their own deadly purpose.",,6.7,"[{""id"": ""0b60f2f38bf80dbebe43a1854547b0af6a19fb11""}, {""id"": ""0b60f2f39e4d7afff686defce6e7bed210da4d25""}]"
tt0253754,"Action, Adventure, Sci-Fi, Thriller",Stuart Baird,,Star Trek: Nemesis,"After a joyous wedding between William Riker and Deanna Troi, Captain Picard and the Enterprise crew stumble upon a mysterious signal which results in it being a prototype android who is the twin to Data. Then the Enterprise is invited to Romulus to negotiate peace with the Romulans by their new Praetor named Shinzon. However, Shinzon is revealed to be a clone of Picard who was raised on Remus, a slave planet to the Romulans. Later on, Picard discovers that this peace treaty was nothing more than a set-up due to the fact that Shinzon needs Picard in order to survive. But little do the Enterprise crew know that Shinzon also plans to do away with the Federation by unleashing a weapon that could destroy a whole planet.",,6.4,"[{""id"": ""0b60f2f38bf80dbebe43a1854547b0af6a19fb11""}, {""id"": ""0b60f2f3e00a7e44e07bb34c063286c7eb9315a6""}, {""id"": ""0b60f2f359228645d7c8b9c1d135fa63e1be3e91""}, {""id"": ""0b60f2f3bd3071801c067f41bc4bfec8c5403f8e""}, {""id"": ""0b60f2f3e00a7e44e07bb34c063286c7eb9315a6""}]"
